source,source_stream,query,record_id,title,abstract,authors,year,journal,doi,pmid,pmcid,url,publication_type,is_preprint,retrieved_at,dedup_key,title_norm
crossref,bibliographic,"(aging OR ageing OR rejuvenation) AND (""stem cell"" OR ""partial reprogramming"" OR Yamanaka)",910541d0b5fe794fe6f7cbbd5ca7eb0d,,,,,,10.3030/101204756,,,https://doi.org/10.3030/101204756,grant,False,2026-04-23T01:41:45,doi:10.3030/101204756,nan
crossref,bibliographic,"(""biological age"" OR ""epigenetic clock"" OR ""DNA methylation age"") AND (intervention OR trial OR therapy)",3d6334d9c8731f89f1ab582cea6accc4,,,,,,10.3030/101025890,,,https://doi.org/10.3030/101025890,grant,False,2026-04-23T01:40:51,doi:10.3030/101025890,nan
crossref,bibliographic,"(aging OR ageing OR ""epigenetic clock"") AND (NAD OR ""nicotinamide riboside"" OR NMN OR sirtuin)",45270e1bcfc386786a1297fcb3f3e82e,Nicotinamide Riboside Chloride,,,,,10.31003/uspnf_m17715_02_01,,,https://doi.org/10.31003/uspnf_m17715_02_01,standard,False,2026-04-23T01:41:30,doi:10.31003/uspnf_m17715_02_01,nicotinamide riboside chloride
crossref,bibliographic,"(aging OR ageing OR ""epigenetic clock"") AND (NAD OR ""nicotinamide riboside"" OR NMN OR sirtuin)",a9cea3dc1734ad5debdd739a480ec2de,Nicotinamide Riboside Chloride,,,,,10.31003/uspnf_m17715_10101_01,,,https://doi.org/10.31003/uspnf_m17715_10101_01,standard,False,2026-04-23T01:41:30,doi:10.31003/uspnf_m17715_10101_01,nicotinamide riboside chloride
crossref,bibliographic,"(aging OR ageing OR healthspan OR lifespan) AND (""caloric restriction"" OR ""dietary restriction"" OR fasting)",1f04adddafd5594972fb5aee48df593a,Peer Review Report For: Dietary restriction with and without caloric restriction for healthy aging [version 1; peer review: 3 approved],,Redman Leanne,2016.0,,10.5256/f1000research.7686.r12172,,,https://doi.org/10.5256/f1000research.7686.r12172,peer-review,False,2026-04-23T01:41:06,doi:10.5256/f1000research.7686.r12172,peer review report for dietary restriction with and without caloric restriction for healthy aging version 1 peer review 3 approved
crossref,bibliographic,"(aging OR ageing OR healthspan OR lifespan) AND (""caloric restriction"" OR ""dietary restriction"" OR fasting)",53301b0ac92d51917af5473ce2ee873d,Peer Review Report For: Dietary restriction with and without caloric restriction for healthy aging [version 1; peer review: 3 approved],,Anderson Rozalyn,2016.0,,10.5256/f1000research.7686.r12174,,,https://doi.org/10.5256/f1000research.7686.r12174,peer-review,False,2026-04-23T01:41:06,doi:10.5256/f1000research.7686.r12174,peer review report for dietary restriction with and without caloric restriction for healthy aging version 1 peer review 3 approved
crossref,bibliographic,"(aging OR ageing OR healthspan OR lifespan) AND (""caloric restriction"" OR ""dietary restriction"" OR fasting)",ded4be93ef3919204bcc1ff03555e202,Peer Review Report For: Dietary restriction with and without caloric restriction for healthy aging [version 1; peer review: 3 approved],,Mattison Julie,2016.0,,10.5256/f1000research.7686.r12173,,,https://doi.org/10.5256/f1000research.7686.r12173,peer-review,False,2026-04-23T01:41:06,doi:10.5256/f1000research.7686.r12173,peer review report for dietary restriction with and without caloric restriction for healthy aging version 1 peer review 3 approved
europe_pmc,mixed,"(aging OR ageing OR rejuvenation) AND (""stem cell"" OR ""partial reprogramming"" OR Yamanaka)",f2659b341e71f417148b8ef9257d7a2a,Prevalent mesenchymal drift in aging and disease is reversed by partial reprogramming.,,"Lu JY, Tu WB, Li R, Weng M, Sanketi BD, Yuan B, Reddy P, Rodriguez Esteban C, Izpisua Belmonte JC.",2025.0,Cell,10.1016/j.cell.2025.07.031,40816266.0,,,journal article,False,2026-04-23T01:41:44,doi:10.1016/j.cell.2025.07.031,prevalent mesenchymal drift in aging and disease is reversed by partial reprogramming
pubmed,peer_reviewed,"(aging OR ageing OR rejuvenation) AND (""stem cell"" OR ""partial reprogramming"" OR Yamanaka)",9bd6e34f467febc043a22ec8b3fe34a4,Prevalent mesenchymal drift in aging and disease is reversed by partial reprogramming.,,Lu JY; Tu WB; Li R; Weng M; Sanketi BD; Yuan B; Reddy P; Rodriguez Esteban C,2025.0,Cell,,40816266.0,,https://pubmed.ncbi.nlm.nih.gov/40816266/,Journal Article,False,2026-04-23T01:41:42,pmid:40816266.0,prevalent mesenchymal drift in aging and disease is reversed by partial reprogramming
pubmed,peer_reviewed,(aging OR ageing OR longevity OR frailty) AND (metformin OR rapamycin OR sirolimus OR mTOR),839dd0f37450a5b46a1899bea4b7a43a,Rapamycin for longevity: opinion article.,,Blagosklonny MV,2019.0,Aging,,31586989.0,,https://pubmed.ncbi.nlm.nih.gov/31586989/,Journal Article,False,2026-04-23T01:41:19,pmid:31586989.0,rapamycin for longevity opinion article
crossref,bibliographic,(aging OR ageing OR longevity OR frailty) AND (metformin OR rapamycin OR sirolimus OR mTOR),195e8e67673a026618d026d107ba5160,Rapamycin for longevity: opinion article,,Blagosklonny Mikhail V.,2019.0,Aging,10.18632/aging.102355,,,https://doi.org/10.18632/aging.102355,journal-article,False,2026-04-23T01:41:23,doi:10.18632/aging.102355,rapamycin for longevity opinion article
crossref,bibliographic,"(aging OR ageing OR healthspan OR lifespan) AND (""caloric restriction"" OR ""dietary restriction"" OR fasting)",dc3ae61b95d54c6f84c2fb5579207e68,"Review for ""Caloric restriction extends lifespan in a clonal plant""",,Compagnoni Aldo,2024.0,,10.1111/ele.14444/v2/review1,,,https://doi.org/10.1111/ele.14444/v2/review1,peer-review,False,2026-04-23T01:41:06,doi:10.1111/ele.14444/v2/review1,review for caloric restriction extends lifespan in a clonal plant
crossref,bibliographic,"(aging OR ageing OR healthspan OR lifespan) AND (""caloric restriction"" OR ""dietary restriction"" OR fasting)",9961f4189a4c2b5adcb87201c0bf8497,"Review for ""Caloric restriction extends lifespan in a clonal plant""",,Compagnoni Aldo,2024.0,,10.1111/ele.14444/v1/review2,,,https://doi.org/10.1111/ele.14444/v1/review2,peer-review,False,2026-04-23T01:41:06,doi:10.1111/ele.14444/v1/review2,review for caloric restriction extends lifespan in a clonal plant
crossref,bibliographic,"(aging OR ageing OR healthspan OR lifespan) AND (""caloric restriction"" OR ""dietary restriction"" OR fasting)",12763f36d10e561ccf62c6738678b5f8,"Review for ""Caloric restriction extends lifespan in a clonal plant""",,,2024.0,,10.1111/ele.14444/v2/review2,,,https://doi.org/10.1111/ele.14444/v2/review2,peer-review,False,2026-04-23T01:41:06,doi:10.1111/ele.14444/v2/review2,review for caloric restriction extends lifespan in a clonal plant
crossref,bibliographic,"(aging OR ageing OR healthspan OR lifespan) AND (""caloric restriction"" OR ""dietary restriction"" OR fasting)",e3944aff875781c283bc04d10815b11d,"Review for ""Caloric restriction extends lifespan in a clonal plant""",,,2024.0,,10.1111/ele.14444/v1/review3,,,https://doi.org/10.1111/ele.14444/v1/review3,peer-review,False,2026-04-23T01:41:06,doi:10.1111/ele.14444/v1/review3,review for caloric restriction extends lifespan in a clonal plant
crossref,bibliographic,"(aging OR ageing OR healthspan OR lifespan) AND (""caloric restriction"" OR ""dietary restriction"" OR fasting)",fe2abf190a74f05ec45a93bc6ff89faa,"Review for ""Caloric restriction extends lifespan in a clonal plant""",,,2024.0,,10.1111/ele.14444/v2/review3,,,https://doi.org/10.1111/ele.14444/v2/review3,peer-review,False,2026-04-23T01:41:06,doi:10.1111/ele.14444/v2/review3,review for caloric restriction extends lifespan in a clonal plant
crossref,bibliographic,"(aging OR ageing OR healthspan OR lifespan) AND (""caloric restriction"" OR ""dietary restriction"" OR fasting)",86ddc9580fb05f915f35296dd583d7cf,"Review for ""Caloric restriction extends lifespan in a clonal plant""",,,2024.0,,10.1111/ele.14444/v1/review1,,,https://doi.org/10.1111/ele.14444/v1/review1,peer-review,False,2026-04-23T01:41:06,doi:10.1111/ele.14444/v1/review1,review for caloric restriction extends lifespan in a clonal plant
crossref,bibliographic,"(""biological age"" OR ""epigenetic clock"" OR ""DNA methylation age"") AND (intervention OR trial OR therapy)",eb9cad904d2640e271b3d78be39a03db,"Review for ""Sequencing method matters: differential performance of DNA methylation data acquisition in epigenetic clock calibration""",,,2025.0,,10.1002/jav.03498/v1/review1,,,https://doi.org/10.1002/jav.03498/v1/review1,peer-review,False,2026-04-23T01:40:51,doi:10.1002/jav.03498/v1/review1,review for sequencing method matters differential performance of dna methylation data acquisition in epigenetic clock calibration
crossref,bibliographic,"(""biological age"" OR ""epigenetic clock"" OR ""DNA methylation age"") AND (intervention OR trial OR therapy)",7632f6f8c3023910eca77e39fd41ae07,"Review for ""Sequencing method matters: differential performance of DNA methylation data acquisition in epigenetic clock calibration""",,,2025.0,,10.1002/jav.03498/v1/review2,,,https://doi.org/10.1002/jav.03498/v1/review2,peer-review,False,2026-04-23T01:40:51,doi:10.1002/jav.03498/v1/review2,review for sequencing method matters differential performance of dna methylation data acquisition in epigenetic clock calibration
crossref,bibliographic,"(aging OR ageing OR healthspan) AND (microbiome OR probiotic OR ""fecal microbiota"")",1255161fbed048e4223123bb5f92daf3,"Review for ""Survey on fecal microbiota transplantation and probiotic use in equine practice in France and Belgium""",,Agnieszka Zak-Bochenek,2025.0,,10.1002/vms3.70854/v1/review1,,,https://doi.org/10.1002/vms3.70854/v1/review1,peer-review,False,2026-04-23T01:41:51,doi:10.1002/vms3.70854/v1/review1,review for survey on fecal microbiota transplantation and probiotic use in equine practice in france and belgium
crossref,bibliographic,"(aging OR ageing OR healthspan) AND (microbiome OR probiotic OR ""fecal microbiota"")",6421f1fa108da400b948f9015b590d60,"Review for ""Survey on fecal microbiota transplantation and probiotic use in equine practice in France and Belgium""",,,2025.0,,10.1002/vms3.70854/v2/review1,,,https://doi.org/10.1002/vms3.70854/v2/review1,peer-review,False,2026-04-23T01:41:51,doi:10.1002/vms3.70854/v2/review1,review for survey on fecal microbiota transplantation and probiotic use in equine practice in france and belgium
crossref,bibliographic,"(aging OR ageing OR healthspan) AND (microbiome OR probiotic OR ""fecal microbiota"")",37113ddbbfcebfa5de80ea663f4b9be5,"Review for ""Survey on fecal microbiota transplantation and probiotic use in equine practice in France and Belgium""",,,2025.0,,10.1002/vms3.70854/v1/review2,,,https://doi.org/10.1002/vms3.70854/v1/review2,peer-review,False,2026-04-23T01:41:51,doi:10.1002/vms3.70854/v1/review2,review for survey on fecal microbiota transplantation and probiotic use in equine practice in france and belgium
crossref,bibliographic,"(aging OR ageing OR rejuvenation) AND (""stem cell"" OR ""partial reprogramming"" OR Yamanaka)",62f96a02106e8d3c54226880e6f3d490,Reviewer #1 (Public Review): Multi-omics characterization of partial chemical reprogramming reveals evidence of cell rejuvenation,,,2024.0,,10.7554/elife.90579.2.sa1,,,https://doi.org/10.7554/elife.90579.2.sa1,peer-review,False,2026-04-23T01:41:45,doi:10.7554/elife.90579.2.sa1,reviewer 1 public review multi omics characterization of partial chemical reprogramming reveals evidence of cell rejuvenation
crossref,bibliographic,"(aging OR ageing OR rejuvenation) AND (""stem cell"" OR ""partial reprogramming"" OR Yamanaka)",88c953bc96b6f5a2298e140c48668303,Reviewer #1 (Public Review): Multi-omics characterization of partial chemical reprogramming reveals evidence of cell rejuvenation,,,2024.0,,10.7554/elife.90579.3.sa1,,,https://doi.org/10.7554/elife.90579.3.sa1,peer-review,False,2026-04-23T01:41:45,doi:10.7554/elife.90579.3.sa1,reviewer 1 public review multi omics characterization of partial chemical reprogramming reveals evidence of cell rejuvenation
crossref,bibliographic,"(aging OR ageing OR rejuvenation) AND (""stem cell"" OR ""partial reprogramming"" OR Yamanaka)",ca2e4773ed95da90679e619d5df5a453,Reviewer #1 (Public Review): Multi-omics characterization of partial chemical reprogramming reveals evidence of cell rejuvenation,,,2023.0,,10.7554/elife.90579.1.sa1,,,https://doi.org/10.7554/elife.90579.1.sa1,peer-review,False,2026-04-23T01:41:45,doi:10.7554/elife.90579.1.sa1,reviewer 1 public review multi omics characterization of partial chemical reprogramming reveals evidence of cell rejuvenation
crossref,bibliographic,"(aging OR ageing OR rejuvenation) AND (""stem cell"" OR ""partial reprogramming"" OR Yamanaka)",fc505cadfa3bc901938b504f9b8c5fbc,Reviewer #2 (Public Review): Multi-omics characterization of partial chemical reprogramming reveals evidence of cell rejuvenation,,,2024.0,,10.7554/elife.90579.2.sa0,,,https://doi.org/10.7554/elife.90579.2.sa0,peer-review,False,2026-04-23T01:41:45,doi:10.7554/elife.90579.2.sa0,reviewer 2 public review multi omics characterization of partial chemical reprogramming reveals evidence of cell rejuvenation
crossref,bibliographic,"(aging OR ageing OR rejuvenation) AND (""stem cell"" OR ""partial reprogramming"" OR Yamanaka)",b98fe2f0e65543d6fcb4f3fe58700c7b,Reviewer #2 (Public Review): Multi-omics characterization of partial chemical reprogramming reveals evidence of cell rejuvenation,,,2024.0,,10.7554/elife.90579.3.sa2,,,https://doi.org/10.7554/elife.90579.3.sa2,peer-review,False,2026-04-23T01:41:45,doi:10.7554/elife.90579.3.sa2,reviewer 2 public review multi omics characterization of partial chemical reprogramming reveals evidence of cell rejuvenation
crossref,bibliographic,"(aging OR ageing OR rejuvenation) AND (""stem cell"" OR ""partial reprogramming"" OR Yamanaka)",d20ba7bb2a111e8a5a6a4c8bfce1cf3c,Reviewer #2 (Public Review): Multi-omics characterization of partial chemical reprogramming reveals evidence of cell rejuvenation,,,2023.0,,10.7554/elife.90579.1.sa0,,,https://doi.org/10.7554/elife.90579.1.sa0,peer-review,False,2026-04-23T01:41:45,doi:10.7554/elife.90579.1.sa0,reviewer 2 public review multi omics characterization of partial chemical reprogramming reveals evidence of cell rejuvenation
pubmed,peer_reviewed,(aging OR ageing OR senescence OR frailty) AND (senolytic OR senomorphic OR fisetin OR dasatinib OR quercetin),f9be2a72dc597abff8e1fc439208aa94,"Senolytic drugs, dasatinib and quercetin, attenuate adipose tissue inflammation, and ameliorate metabolic function in old age.",,Islam MT; Tuday E; Allen S; Kim J; Trott DW; Holland WL; Donato AJ; Lesniewski LA,2023.0,Aging cell,,36637079.0,,https://pubmed.ncbi.nlm.nih.gov/36637079/,"Journal Article; Research Support, N.I.H., Extramural; Research Support, U.S. Gov't, Non-P.H.S.",False,2026-04-23T01:41:33,pmid:36637079.0,senolytic drugs dasatinib and quercetin attenuate adipose tissue inflammation and ameliorate metabolic function in old age
crossref,bibliographic,(aging OR ageing OR senescence OR frailty) AND (senolytic OR senomorphic OR fisetin OR dasatinib OR quercetin),6e2ecfcc69d349d2ae4f0cdeda55bd40,"Senolytic drugs, dasatinib and quercetin, attenuate adipose tissue inflammation, and ameliorate metabolic function in old age",,Islam Md Torikul; Tuday Eric; Allen Shanena; Kim John; Trott Daniel W.; Holland William L.; Donato Anthony J.; Lesniewski Lisa A.,2023.0,Aging Cell,10.1111/acel.13767,,,https://doi.org/10.1111/acel.13767,journal-article,False,2026-04-23T01:41:38,doi:10.1111/acel.13767,senolytic drugs dasatinib and quercetin attenuate adipose tissue inflammation and ameliorate metabolic function in old age
crossref,bibliographic,"(aging OR ageing OR ""epigenetic clock"") AND (NAD OR ""nicotinamide riboside"" OR NMN OR sirtuin)",20ed2945f84e5dac218d1c04cc95cea1,Towards personalized nicotinamide mononucleotide (NMN) supplementation: nicotinamide adenine dinucleotide (NAD) concentration,,Kuerec Ajla Hodzic; Wang Weilan; Yi Lin; Tao Rongsheng; Lin Zhigang; Vaidya Aditi; Pendse Sohal; Thasma Sornaraja,,,10.1101/2024.02.19.24303025,,,https://doi.org/10.1101/2024.02.19.24303025,posted-content,True,2026-04-23T01:41:30,doi:10.1101/2024.02.19.24303025,towards personalized nicotinamide mononucleotide nmn supplementation nicotinamide adenine dinucleotide nad concentration
crossref,bibliographic,"(aging OR ageing OR ""epigenetic clock"") AND (NAD OR ""nicotinamide riboside"" OR NMN OR sirtuin)",648e088f47c75b9cfe382625e8d7db9c,Towards personalized nicotinamide mononucleotide (NMN) supplementation: Nicotinamide adenine dinucleotide (NAD) concentration,,Kuerec Ajla Hodzic; Wang Weilan; Yi Lin; Tao Rongsheng; Lin Zhigang; Vaidya Aditi; Pendse Sohal; Thasma Sornaraja,2024.0,Mechanisms of Ageing and Development,10.1016/j.mad.2024.111917,,,https://doi.org/10.1016/j.mad.2024.111917,journal-article,False,2026-04-23T01:41:30,doi:10.1016/j.mad.2024.111917,towards personalized nicotinamide mononucleotide nmn supplementation nicotinamide adenine dinucleotide nad concentration
europe_pmc,mixed,"(""biological age"" OR ""epigenetic clock"" OR ""DNA methylation age"") AND (intervention OR trial OR therapy)",8f58507699a984b5232e2f9d514bd339,Unraveling the complexity of skin's biological aging utilizing epigenetic clocks.,,"Bienkowska A, Qi M, Kanta K, Del Pilar Bonilla-Tobar M, Völzke H, Gallinat S, Jaspers S, Clemann S, Winnefeld M, Grönniger E, Kaderali L, Falckenhayn C.",2026.0,Clin Epigenetics,10.1186/s13148-026-02101-4,41957838.0,,,journal article,False,2026-04-23T01:40:50,doi:10.1186/s13148-026-02101-4,unraveling the complexity of skin s biological aging utilizing epigenetic clocks
europe_pmc,mixed,"(""biological age"" OR ""epigenetic clock"" OR ""DNA methylation age"") AND (intervention OR trial OR therapy)",1487f2b20d43aad4b27cd4072e8fb021,Unraveling the complexity of skin’s biological aging utilizing epigenetic clocks,,"Bienkowska A, Qi M, Kanta K, del Pilar Bonilla-Tobar M, Völzke H, Gallinat S, Jaspers S, Clemann S, Winnefeld M, Grönniger E, Kaderali L, Falckenhayn C.",2026.0,Clin Epigenetics,,,PMC13063880,,research-article; journal article,False,2026-04-23T01:40:50,title:unraveling the complexity of skin s biological aging utilizing epigenetic clocks,unraveling the complexity of skin s biological aging utilizing epigenetic clocks
